zip,price,rent,ROI,median_income,annual_mortgage_interest_cost,cash_flow,ROI_after_interest,z_roi_ai,z_income,z_price,investment_score,state
46203,160455.84997095904,1378.555128205128,0.1030979022669201,57393,10429.630248112338,6113.031290349198,0.0380979022669201,1.077811699684497,-0.5913574618468537,-0.8510249690049575,0.5317036050891839,Indiana
46033,561079.4008493563,2153.1388888888887,0.0460499291678751,153143,36470.16105520816,-10632.494388541498,-0.0189500708321248,-1.095893033917413,3.1114550417789912,3.1168671461426656,-0.2378834336535424,Indiana
46224,195215.39438396532,1171.8722222222225,0.0720356440691735,55986,12689.000634957749,1373.466031708922,0.0070356440691735,-0.1057566904418256,-0.6457685030228492,-0.5067563360199852,-0.1452576289237705,Indiana
46383,333113.3570053631,1375.6136363636365,0.0495547935536486,76224,21652.3682053486,-5145.004568984961,-0.0154452064463513,-0.9623468289933278,0.1368687758114051,0.8590251747790355,-0.6119178167090495,Indiana
46112,351312.2507580428,1851.7428571428568,0.0632511796493494,112565,22835.29629927278,-614.3820135585011,-0.0017488203506505,-0.4404720335860463,1.5422359736627558,1.039272309195718,0.0345803134666599,Indiana
47401,338359.01104581583,1637.330864197531,0.0580684117430226,66906,21993.33571797803,-2345.365347607658,-0.0069315882569773,-0.6379515673739238,-0.2234738550897501,0.910979657385632,-0.5682138716910133,Indiana
46217,251824.1544590107,1564.1666666666667,0.0745361382839674,92029,16368.570039835697,2401.429960164305,0.0095361382839674,-0.0104801045129088,0.7480745368537705,0.0539132807750467,0.2083996526446673,Indiana
46074,490044.66310766496,1917.106267806268,0.0469452622293345,126724,31852.903101998225,-8847.627888323008,-0.0180547377706654,-1.0617780670198924,2.0897881641467078,2.4133184526900684,-0.3866162748039478,Indiana
46410,232978.00558658424,1504.2539682539682,0.077479621192564,64127,15143.570363127976,2907.477255919642,0.012479621192564,0.1016757247675506,-0.330942428954776,-0.132744456514335,-0.0218959749997904,Indiana
46901,156489.56039372945,988.6111111,0.0758091038363947,60495,10171.821425592414,1691.5119076075862,0.0108091038363947,0.0380238316781153,-0.4713979382306932,-0.8903082540374404,0.0556541851773377,Indiana
